year,week,incidences
2012,2,2
2012,4,0
2012,6,1
2012,8,0
2012,10,1
2012,12,0
2012,14,1
2012,16,0
2012,18,0
2012,20,0
2012,22,0
2012,24,0
2012,26,0
2012,28,0
2012,30,0
2012,32,1
2012,34,1
2012,36,0
2012,38,0
2012,40,0
2012,42,0
2012,44,0
2012,46,0
2012,48,0
2012,50,0
2012,52,2
2012,53,1
2013,2,0
2013,4,0
2013,6,0
2013,8,0
2013,10,0
2013,12,0
2013,14,0
2013,16,0
2013,18,0
2013,20,0
2013,22,0
2013,24,1
2013,26,0
2013,28,1
2013,30,0
2013,32,0
2013,34,2
2013,36,1
2013,38,1
2013,40,0
2013,42,0
2013,44,0
2013,46,1
2013,48,0
2013,50,0
2013,52,0
2013,53,0
2014,2,0
2014,4,5
2014,6,0
2014,8,0
2014,10,0
2014,12,0
2014,14,0
2014,16,0
2014,18,0
2014,20,0
2014,22,0
2014,24,2
2014,26,0
2014,28,1
2014,30,0
2014,32,1
2014,34,1
2014,36,0
2014,38,0
2014,40,0
2014,42,0
2014,44,0
2014,46,0
2014,48,1
2014,50,0
2014,52,0
2014,53,0
